
<!-- 40.9196s -->
Purshia tridentata,antelope bitterbrush
Quercus agrifolia,California live oak
Quercus alba,white oak
Quercus douglasii,blue oak
Quercus garryana,Oregon white oak
Quercus geminata,sand live oak
Quercus kelloggii,California black oak
Quercus laurifolia,laurel oak
Quercus lobata,valley oak
Quercus macrocarpa,bur oak
Quercus rubra,northern red oak
Quercus virginiana,live oak
Rhamnus cathartica,common buckthorn
Rhododendron macrophyllum,Pacific rhododendron
Rhus hirta,staghorn sumac
Robinia pseudoacacia,black locust
Rosa rugosa,rugosa rose
Rosa woodsii,Woods' rose
Rubus parviflorus,thimbleberry
Rubus spectabilis,salmonberry
Sabal palmetto,cabbage palmetto
Salix caroliniana,coastal plain willow
Salix glauca,greyleaf willow
Salix planifolia,diamondleaf willow
Sambucus nigra,black elderberry
Sambucus racemosa,red elderberry
Scientific Name,Common Name
Serenoa repens,saw palmetto
Simmondsia chinensis,jojoba
Sisyrinchium bellum,western blue-eyed grass
Solidago missouriensis,Missouri goldenrod
Solidago rugosa,wrinkleleaf goldenrod
Solidago sempervirens,seaside goldenrod
Sorbus americana,American mountain ash
Sphaeralcea coccinea,scarlet globemallow
Spiraea alba,white meadowsweet
Symphoricarpos albus,common snowberry
Symphyotrichum ericoides,white heath aster
Syringa chinensis,Red Rothomagensis lilac
Syringa vulgaris,common lilac
Tamarix spp.,tamarisk
Taraxacum officinale,common dandelion
Taxodium distichum,bald cypress
Tilia americana,American basswood
Tradescantia ohiensis,bluejacket
Trifolium repens,white clover
Trillium erectum,red trillium
Trillium grandiflorum,white trillium
Trillium ovatum,Pacific trillium
Trillium undulatum,painted trillium
Tsuga canadensis,eastern hemlock
Tsuga mertensiana,mountain hemlock
Vaccinium corymbosum,highbush blueberry
Vaccinium uliginosum,bog blueberry
Vaccinium vitis-idaea,lingonberry
Vernonia fasciculata,prairie ironweed
Viburnum lantanoides,hobblebush
Viburnum obovatum,small-leaf arrowwood
Vitis vinifera,wine grape
Yucca brevifolia,Joshua tree
Yucca schidigera,Mojave yucca
